Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-05-21,43.751725,44.364135,43.673393,44.235956,3222
2007-05-22,44.008082,44.506556,43.538093,44.506556,1949
2007-05-23,43.666272,43.943993,43.666272,43.943993,122
2007-05-24,43.758846,44.499435,43.716119,44.079293,3601
2007-05-25,43.580819,43.830056,43.566577,43.830056,471
2007-05-28,43.580819,43.830056,43.566577,43.830056,471
2007-05-29,44.150503,44.250198,43.708998,43.708998,3712
2007-05-30,43.794451,43.815814,43.424156,43.694756,2969
2007-05-31,44.421103,44.506556,44.086414,44.086414,773
2007-06-01,44.243077,44.470951,43.915509,44.435345,2667
2007-06-04,44.684582,44.784277,43.865661,44.300045,23336
2007-06-05,44.520798,44.542161,44.143382,44.485193,6950
2007-06-06,44.171867,44.321409,43.958235,43.958235,3404
2007-06-07,44.492314,44.499435,44.065051,44.065051,490
2007-06-08,43.360067,44.136261,43.210525,43.352946,2305
2007-06-11,43.85854,44.292924,43.851419,44.292924,1363
2007-06-12,44.079293,44.079293,44.079293,44.079293,10
2007-06-13,44.435345,44.435345,43.908388,44.257319,2641
2007-06-14,44.862608,45.026392,44.506556,44.990787,520
2007-06-15,45.489261,45.717134,45.183055,45.681529,3421
2007-06-18,45.517745,45.802587,45.517745,45.731376,1845
2007-06-19,46.080308,46.080308,45.930766,45.930766,140
2007-06-20,45.382445,45.596076,44.862608,44.862608,703
2007-06-21,44.065051,44.392619,44.022325,44.371256,5919
2007-06-22,44.506556,44.80564,44.364135,44.39974,1223
2007-06-25,43.936872,44.036567,43.474004,44.036567,2925
2007-06-28,44.357014,44.392619,44.228835,44.364135,254
2007-06-29,44.314288,44.314288,44.314288,44.314288,20
2007-07-02,44.755793,44.755793,44.065051,44.32853,3725
2007-07-03,44.321409,44.613372,44.321409,44.613372,692
2007-07-04,44.592008,44.720187,44.570645,44.720187,520
2007-07-05,44.684582,44.848366,44.335651,44.456709,1640
2007-07-06,44.770035,44.898214,44.727308,44.727308,562
2007-07-09,45.475018,45.475018,45.126087,45.240024,5851
2007-07-10,45.524866,45.717134,44.862608,45.339719,3681
2007-07-11,45.033513,45.140329,44.542161,45.140329,1544
2007-07-12,45.183055,45.766982,45.183055,45.766982,1305
2007-07-13,45.930766,46.749686,45.930766,46.749686,6895
2007-07-16,46.863623,46.863623,46.058945,46.058945,3074
2007-07-17,46.514692,46.642871,45.631682,46.507571,5594
2007-07-18,46.201365,46.642871,45.752739,46.642871,2536
2007-07-19,46.934834,47.468912,46.906349,47.468912,5022
2007-07-20,47.732391,47.853449,47.433307,47.782238,2235
2007-07-23,47.397702,47.668302,47.191191,47.668302,2315
2007-07-24,48.280712,48.387528,47.533002,47.618454,11306
2007-07-25,46.984681,47.483154,46.400755,47.31937,9714
2007-07-26,47.86057,48.629643,45.653045,46.101671,5799
2007-07-27,45.361082,46.080308,45.090482,45.296992,5846
2007-07-30,44.584887,45.01215,44.200351,44.285803,3769
2007-07-31,44.969424,45.111845,44.506556,44.506556,5631
2007-08-01,44.186109,44.862608,43.801572,44.74155,3022
2007-08-02,44.962303,44.990787,44.506556,44.506556,1647
2007-08-03,44.157624,44.53504,43.295978,43.295978,3503
2007-08-06,41.665257,42.249183,41.544199,42.099641,12040
2007-08-07,42.76902,43.146435,42.726294,43.053862,3552
2007-08-08,44.520798,44.883971,44.12914,44.883971,2298
2007-08-09,45.717639,45.717639,44.688027,44.688027,1912
2007-08-10,43.451062,44.08027,42.900506,44.08027,2414
2007-08-13,43.930118,44.888229,43.930118,44.05882,3806
2007-08-14,43.715615,43.715615,43.472513,43.472513,450
2007-08-15,43.980169,44.394873,43.973019,44.394873,1670
2007-08-16,43.050658,43.436762,42.693153,43.436762,6709
2007-08-17,42.214098,44.151771,42.113997,44.12317,5314
2007-08-20,44.580776,44.688027,44.330523,44.373423,6374
2007-08-21,44.545025,44.94543,44.530725,44.530725,537
2007-08-22,44.587926,44.587926,44.13032,44.13032,1100
2007-08-23,44.380573,44.380573,44.208971,44.208971,200
2007-08-24,43.787116,44.158921,43.787116,44.13747,1136
2007-08-27,44.545025,44.823879,44.409174,44.409174,1250
2007-08-28,45.002631,45.002631,44.151771,44.151771,425
2007-08-29,43.501113,43.915818,43.300911,43.915818,2481
2007-08-30,44.788128,44.788128,44.537875,44.745228,2472
2007-08-31,45.317234,45.403035,44.94543,45.403035,491
2007-09-03,45.310084,45.310084,44.859629,45.202833,477
2007-09-04,45.066981,45.81059,45.066981,45.81059,2352
2007-09-05,45.903541,45.903541,45.403035,45.403035,800
2007-09-06,45.975042,45.975042,45.260034,45.660438,1527
2007-09-07,45.746239,45.83204,44.688027,44.688027,4542
2007-09-10,44.666577,44.666577,44.216121,44.294772,1978
2007-09-11,43.915818,44.259022,43.858617,44.208971,676
2007-09-12,44.688027,44.688027,44.208971,44.208971,20
2007-09-13,45.238583,45.76769,44.95258,45.76769,900
2007-09-14,45.388735,46.053693,45.388735,46.053693,90
2007-09-17,45.75339,46.189545,45.581787,46.189545,1556
2007-09-18,45.76054,46.196695,45.76054,46.196695,1630
2007-09-19,46.747251,47.51946,46.747251,47.51946,3269
2007-09-20,46.833052,47.190556,46.690051,46.690051,855
2007-09-21,46.797302,47.262057,46.61855,47.262057,862
2007-09-24,46.411197,46.940304,46.375447,46.904553,2418
2007-09-25,46.6686,46.6686,45.76054,45.76054,1045
2007-09-26,46.432648,46.833052,46.432648,46.475548,1170
2007-09-27,46.64715,46.976054,46.64715,46.883103,489
2007-09-28,46.6257,47.097605,46.6257,46.797302,896
2007-10-01,46.125194,46.711501,46.125194,46.339696,864
2007-10-02,47.262057,47.319258,46.118044,46.118044,515
2007-10-03,46.597099,46.597099,46.118044,46.139494,3347
2007-10-04,46.025093,46.382597,45.79629,45.82489,888
2007-10-05,46.239595,46.411197,46.118044,46.160944,770
2007-10-08,45.903541,46.418347,45.78914,46.075143,2256
2007-10-09,46.475548,46.547049,45.896391,46.547049,1520
2007-10-10,46.339696,46.339696,46.332546,46.332546,600
2007-10-11,46.833052,47.190556,46.704351,46.811602,1557
2007-10-12,46.897403,47.040405,46.761551,47.040405,1396
2007-10-15,47.46941,47.47656,46.833052,47.45511,2715
2007-10-16,47.762563,47.905565,47.762563,47.905565,1730
2007-10-17,47.905565,47.977066,47.226307,47.226307,1205
2007-10-18,47.755413,47.755413,47.419359,47.419359,610
2007-10-19,47.011804,47.641012,47.011804,47.054705,1415
2007-10-22,45.903541,46.067993,45.524587,45.524587,5199
2007-10-23,46.468398,46.468398,45.83204,45.996492,943
2007-10-24,45.79629,46.303946,45.78914,45.946442,1400
2007-10-25,45.932142,46.361147,45.460236,45.460236,4460
2007-10-26,45.624688,46.082293,45.510287,45.703339,1608
2007-10-29,45.76054,46.6114,45.703339,46.6114,2058
2007-10-30,46.475548,46.475548,45.495986,45.624688,1828
2007-10-31,45.074132,45.431636,45.052681,45.281484,1232
2007-11-01,45.724789,45.982192,44.08742,44.666577,2947
2007-11-02,43.965868,44.030219,42.886206,43.25801,3434
2007-11-05,43.21511,43.329511,42.879056,42.921956,1788
2007-11-06,43.25801,44.244722,43.186509,44.244722,3078
2007-11-07,44.502416,44.602905,43.784635,43.806168,8315
2007-11-08,42.45674,43.490345,42.45674,43.490345,2344
2007-11-09,43.641079,43.806168,42.923298,42.923298,2485
2007-11-12,42.521341,42.887409,41.631292,42.514163,3833
2007-11-13,41.896871,41.896871,41.229335,41.581048,678
2007-11-14,42.643363,42.973543,42.485452,42.973543,5065
2007-11-15,42.736675,42.736675,41.990183,42.018894,2026
2007-11-16,41.430314,41.710248,41.293935,41.710248,2195
2007-11-19,41.688715,41.688715,41.322646,41.337002,1596
2007-11-20,41.502092,42.693608,40.899156,42.442385,2850
2007-11-21,42.370607,42.707964,42.219873,42.521341,2469
2007-11-22,42.471096,42.471096,41.904049,41.93276,1213
2007-11-23,41.631292,42.528518,41.423136,42.528518,1819
2007-11-26,42.995076,42.995076,42.277295,42.277295,421
2007-11-27,41.631292,41.832271,40.841733,41.286757,5090
2007-11-28,42.061961,42.449562,41.968649,42.449562,2104
2007-11-29,42.68643,43.497523,42.650541,43.353966,4653
2007-11-30,43.382678,43.475989,42.837164,43.475989,2805
2007-12-03,43.475989,43.770279,43.27501,43.454456,2003
2007-12-04,43.353966,43.353966,42.98072,42.98072,1027
2007-12-05,43.246299,43.978436,43.138632,43.770279,2284
2007-12-06,44.35886,44.430638,44.12917,44.430638,4124
2007-12-07,44.990507,44.990507,44.846951,44.846951,438
2007-12-10,44.502416,45.076641,44.502416,45.076641,180
2007-12-11,44.861306,45.213019,44.775173,45.213019,680
2007-12-12,44.279904,44.789528,44.279904,44.789528,80
2007-12-13,44.660328,45.155596,44.509594,44.897195,4623
2007-12-14,45.507309,45.937978,45.327864,45.937978,1624
2007-12-17,45.421175,45.428353,45.126885,45.263264,614
2007-12-18,44.940262,45.205841,44.940262,45.205841,197
2007-12-19,44.976151,45.629332,44.976151,45.586265,566
2007-12-20,45.528843,45.937978,45.528843,45.665221,273
2007-12-21,45.937978,46.91416,45.937978,46.91416,5445
2007-12-27,46.655759,47.373539,46.217912,46.921337,6229
2007-12-28,46.418891,46.483491,46.045645,46.045645,1205
2008-01-02,45.837488,45.837488,45.837488,45.837488,125
2008-01-03,45.837488,46.117423,45.715466,46.074356,2673
2008-01-04,45.837488,46.074356,45.134063,45.134063,1115
2008-01-07,45.284797,45.586265,44.602905,44.818239,1987
2008-01-08,44.753639,45.004862,44.294259,44.602905,2050
2008-01-09,43.956902,44.567016,43.641079,44.078925,1756
2008-01-10,45.148419,45.148419,44.086103,44.430638,1231
2008-01-11,44.19377,44.502416,44.143525,44.502416,5280
2008-01-14,43.791813,43.885124,43.626723,43.885124,2325
2008-01-15,43.705679,43.928191,42.772564,42.944831,3183
2008-01-16,42.880231,43.425744,42.880231,42.923298,1380
2008-01-17,42.45674,43.203232,42.004538,42.004538,4412
2008-01-18,41.143201,41.80356,40.913511,41.394425,4215
2008-01-21,41.315469,41.530803,39.793773,40.102419,4512
2008-01-22,38.752991,40.978112,38.042388,40.970934,15896
2008-01-23,41.631292,41.631292,39.104703,39.406171,7938
2008-01-24,40.669466,41.631292,40.669466,40.906334,3778
2008-01-25,42.32754,42.370607,41.86816,42.277295,2621
2008-01-28,40.769955,40.8848,40.260331,40.8848,4153
2008-01-29,41.645648,41.645648,41.272402,41.27958,3750
2008-01-30,41.609759,41.645648,41.092957,41.092957,1764
2008-01-31,41.27958,41.27958,40.540265,40.913511,3738
2008-02-01,41.537981,43.023787,40.19573,41.631292,4686
2008-02-04,41.789204,41.925582,41.487736,41.774848,3916
2008-02-05,41.451847,41.782026,40.870444,41.200624,3070
2008-02-06,40.375176,40.698177,39.994752,39.994752,2708
2008-02-07,40.334633,40.695086,40.118362,40.695086,2009
2008-02-08,41.430409,41.430409,40.810431,40.875312,4659
2008-02-11,40.20487,40.839267,39.808373,40.839267,3219
2008-02-12,40.997866,41.848534,40.997866,41.848534,1890
2008-02-13,41.473663,42.144105,41.379945,42.144105,1645
2008-02-14,42.533393,42.792919,42.533393,42.641529,1565
2008-02-15,41.956669,42.10085,41.848534,41.884579,600
